# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "/home/jasper/OneDrive/Thesis/Plastic_tool/temps/ab-hydrolase/contigs-fixed.saf" "-F" "SAF" "-o" "/home/jasper/OneDrive/Thesis/Plastic_tool/temps/ab-hydrolase/ab-hydrolase_GC125648.bam_counts.out" "/home/jasper/Test_data/GC125648.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/jasper/Test_data/GC125648.bam
c_000000210592_4	c_000000210592	2064	2855	-	792	0
c_000000211020_4	c_000000211020	2578	3504	-	927	0
c_000000211434_3	c_000000211434	757	1551	+	795	3
c_000000211746_1	c_000000211746	1	735	-	735	8
c_000000211825_1	c_000000211825	1	366	+	366	10
c_000000212052_1	c_000000212052	1	480	-	480	0
c_000000212465_7	c_000000212465	8135	8665	-	531	0
c_000000212577_1	c_000000212577	1	459	-	459	0
c_000000213274_1	c_000000213274	215	829	+	615	0
c_000000214193_4	c_000000214193	2377	3114	-	738	0
c_000000214336_1	c_000000214336	3	467	+	465	0
c_000000214942_1	c_000000214942	2	565	-	564	14
c_000000215940_2	c_000000215940	120	1058	-	939	1
c_000000216123_2	c_000000216123	199	972	+	774	0
c_000000217180_1	c_000000217180	1	525	-	525	9
c_000000217270_1	c_000000217270	1	312	-	312	10
c_000000217523_1	c_000000217523	3	350	-	348	2
c_000000217569_2	c_000000217569	366	965	+	600	3
c_000000218022_1	c_000000218022	3	722	-	720	4
c_000000218604_2	c_000000218604	441	992	-	552	0
c_000000219111_2	c_000000219111	108	284	+	177	1
c_000000219127_1	c_000000219127	1	504	+	504	4
c_000000219495_2	c_000000219495	783	1499	-	717	0
c_000000219622_2	c_000000219622	812	1651	+	840	0
c_000000220141_1	c_000000220141	3	140	-	138	2
c_000000220879_5	c_000000220879	2623	3588	-	966	0
c_000000221630_1	c_000000221630	71	868	-	798	0
c_000000221737_1	c_000000221737	3	326	-	324	0
c_000000221982_3	c_000000221982	1797	2618	+	822	0
c_000000222475_1	c_000000222475	3	692	+	690	4
c_000000222659_1	c_000000222659	1	438	-	438	17
c_000000223012_8	c_000000223012	6485	7408	-	924	0
c_000000224346_1	c_000000224346	1	492	-	492	2
c_000000224435_25	c_000000224435	26651	27526	+	876	0
c_000000225461_2	c_000000225461	417	1211	+	795	0
c_000000225484_2	c_000000225484	150	986	-	837	2
c_000000225794_1	c_000000225794	3	422	-	420	0
c_000000225953_1	c_000000225953	2	529	-	528	4
c_000000226087_1	c_000000226087	1	405	-	405	4
c_000000226163_2	c_000000226163	128	2002	+	1875	0
c_000000226199_2	c_000000226199	245	835	+	591	0
c_000000226922_1	c_000000226922	1	330	+	330	0
c_000000227722_1	c_000000227722	1	462	+	462	4
c_000000228181_1	c_000000228181	1	336	-	336	6
c_000000228409_14	c_000000228409	10006	10911	-	906	0
c_000000229316_1	c_000000229316	1	513	-	513	0
c_000000229676_3	c_000000229676	1297	2073	+	777	0
c_000000229703_9	c_000000229703	6860	7867	+	1008	0
c_000000231272_1	c_000000231272	2	469	-	468	5
c_000000231963_1	c_000000231963	3	962	-	960	12
c_000000231992_3	c_000000231992	1421	2329	+	909	0
c_000000232114_1	c_000000232114	3	1079	-	1077	6
c_000000232406_4	c_000000232406	3102	3791	+	690	0
c_000000233612_3	c_000000233612	1772	2638	+	867	0
c_000000233662_24	c_000000233662	27364	28095	-	732	0
c_000000234283_1	c_000000234283	3	347	-	345	12
c_000000234576_11	c_000000234576	6873	7553	+	681	0
c_000000235112_3	c_000000235112	1173	2084	+	912	0
c_000000235382_2	c_000000235382	205	1014	-	810	36
c_000000235465_6	c_000000235465	3016	4125	+	1110	0
c_000000235536_1	c_000000235536	3	782	+	780	14
c_000000235656_2	c_000000235656	930	1700	-	771	0
c_000000236255_2	c_000000236255	280	1083	+	804	4
c_000000236497_3	c_000000236497	1598	2320	+	723	0
c_000000236566_1	c_000000236566	3	938	+	936	5
c_000000236887_1	c_000000236887	2	322	-	321	0
c_000000237788_1	c_000000237788	3	416	-	414	10
c_000000238142_8	c_000000238142	6660	7466	-	807	0
c_000000238394_1	c_000000238394	1	777	-	777	4
c_000000238727_1	c_000000238727	3	899	-	897	5
c_000000239530_9	c_000000239530	7092	7958	+	867	0
c_000000239990_5	c_000000239990	2304	2951	+	648	0
c_000000240652_6	c_000000240652	3841	5094	+	1254	0
c_000000241423_2	c_000000241423	129	1070	+	942	6
c_000000241529_1	c_000000241529	2	556	+	555	2
c_000000241828_1	c_000000241828	1	735	+	735	2
c_000000241882_2	c_000000241882	963	1886	-	924	0
c_000000241935_2	c_000000241935	1054	1980	+	927	0
c_000000241946_1	c_000000241946	2	592	-	591	7
c_000000242292_4	c_000000242292	2893	3714	+	822	0
c_000000242939_1	c_000000242939	51	1010	+	960	0
c_000000243195_1	c_000000243195	3	350	-	348	2
c_000000243833_1	c_000000243833	3	443	-	441	3
c_000000245812_1	c_000000245812	1	480	-	480	0
c_000000246278_1	c_000000246278	2	376	+	375	6
c_000000246290_1	c_000000246290	1	588	-	588	8
c_000000246344_1	c_000000246344	2	352	-	351	2
c_000000246866_2	c_000000246866	244	777	+	534	9
c_000000246886_8	c_000000246886	7354	8202	-	849	0
c_000000247160_1	c_000000247160	3	413	+	411	0
c_000000247373_1	c_000000247373	2	679	-	678	2
c_000000247541_1	c_000000247541	1	408	+	408	4
c_000000248446_3	c_000000248446	2323	2778	+	456	0
c_000000248617_1	c_000000248617	3	350	-	348	4
c_000000248846_1	c_000000248846	202	1011	+	810	0
c_000000249287_3	c_000000249287	847	1737	-	891	4
c_000000249706_1	c_000000249706	15	869	-	855	8
c_000000250245_1	c_000000250245	3	332	-	330	2
c_000000250803_2	c_000000250803	560	1429	+	870	0
c_000000252508_7	c_000000252508	5442	6239	-	798	0
c_000000253008_2	c_000000253008	449	1363	-	915	10
c_000000253069_1	c_000000253069	81	812	+	732	0
c_000000253554_1	c_000000253554	3	509	+	507	1
c_000000254062_1	c_000000254062	1	483	-	483	6
c_000000254450_3	c_000000254450	967	1371	+	405	0
c_000000254931_1	c_000000254931	9	533	-	525	1
c_000000255031_2	c_000000255031	221	1093	-	873	0
c_000000255121_1	c_000000255121	3	509	+	507	0
c_000000255159_1	c_000000255159	2	241	+	240	3
c_000000255166_1	c_000000255166	99	989	-	891	0
c_000000256689_1	c_000000256689	3	758	-	756	7
c_000000256933_5	c_000000256933	4505	5476	+	972	0
c_000000257049_3	c_000000257049	1823	2413	-	591	0
c_000000257092_2	c_000000257092	260	697	+	438	2
c_000000257400_4	c_000000257400	1853	2461	-	609	0
c_000000257467_5	c_000000257467	3013	3915	+	903	0
c_000000257877_1	c_000000257877	1	303	-	303	0
c_000000258715_1	c_000000258715	2	367	+	366	8
c_000000259035_2	c_000000259035	191	517	+	327	7
c_000000259240_1	c_000000259240	1	522	-	522	9
c_000000259692_1	c_000000259692	1	429	-	429	4
c_000000259798_2	c_000000259798	404	1381	+	978	0
c_000000260207_2	c_000000260207	271	1095	+	825	4
c_000000260394_1	c_000000260394	3	554	+	552	2
c_000000261485_1	c_000000261485	1	435	-	435	0
c_000000262041_2	c_000000262041	757	1752	-	996	7
c_000000262423_2	c_000000262423	299	751	+	453	0
c_000000263294_3	c_000000263294	1279	1764	-	486	0
c_000000263977_1	c_000000263977	76	822	+	747	26
c_000000264169_1	c_000000264169	1	360	+	360	0
c_000000266152_1	c_000000266152	2	709	+	708	0
c_000000266883_2	c_000000266883	654	1445	+	792	0
c_000000267154_3	c_000000267154	1314	1982	+	669	0
c_000000267659_1	c_000000267659	2	514	+	513	0
c_000000268726_6	c_000000268726	3046	3936	-	891	0
c_000000268837_1	c_000000268837	1	660	-	660	10
c_000000268930_2	c_000000268930	495	1394	-	900	0
c_000000269734_3	c_000000269734	1762	3186	-	1425	0
c_000000269736_1	c_000000269736	1	603	+	603	8
c_000000270554_3	c_000000270554	1455	1946	+	492	0
c_000000270874_1	c_000000270874	48	956	+	909	0
c_000000271170_2	c_000000271170	1265	1816	+	552	0
c_000000272374_2	c_000000272374	558	1523	+	966	0
c_000000273573_1	c_000000273573	3	350	+	348	10
c_000000274231_1	c_000000274231	3	437	-	435	19
c_000000274825_1	c_000000274825	2	643	-	642	16
c_000000275111_1	c_000000275111	1	375	-	375	0
c_000000275879_1	c_000000275879	94	891	-	798	37
c_000000275892_2	c_000000275892	606	1433	+	828	0
c_000000276276_3	c_000000276276	2138	2908	-	771	4
c_000000276323_1	c_000000276323	2	514	-	513	2
c_000000276476_2	c_000000276476	367	1872	+	1506	59
c_000000276741_1	c_000000276741	2	721	-	720	2
c_000000276986_1	c_000000276986	1	609	+	609	0
c_000000277137_1	c_000000277137	2	331	-	330	8
c_000000277627_1	c_000000277627	2	538	+	537	0
c_000000277807_1	c_000000277807	1	876	+	876	14
c_000000278002_2	c_000000278002	965	1720	+	756	0
c_000000278297_1	c_000000278297	2	370	-	369	0
c_000000278768_1	c_000000278768	1	246	+	246	26
c_000000279142_1	c_000000279142	2	457	+	456	17
c_000000279746_1	c_000000279746	1	594	-	594	6
c_000000279781_4	c_000000279781	1993	3024	+	1032	0
c_000000280535_1	c_000000280535	3	668	-	666	0
c_000000281611_3	c_000000281611	1534	2346	-	813	0
c_000000282516_1	c_000000282516	2	382	+	381	0
c_000000283394_2	c_000000283394	577	948	+	372	6
c_000000284236_2	c_000000284236	138	878	+	741	2
c_000000284694_1	c_000000284694	1	597	+	597	2
c_000000285194_5	c_000000285194	4980	5744	-	765	0
c_000000285255_5	c_000000285255	3443	4390	-	948	0
c_000000285699_3	c_000000285699	2156	2932	-	777	0
c_000000285995_2	c_000000285995	464	967	+	504	6
c_000000286277_2	c_000000286277	558	1526	+	969	0
c_000000286614_1	c_000000286614	3	794	-	792	0
c_000000286760_1	c_000000286760	3	254	+	252	0
c_000000287191_1	c_000000287191	3	962	-	960	12
c_000000289357_1	c_000000289357	3	512	-	510	2
c_000000289981_1	c_000000289981	3	698	-	696	0
c_000000290181_3	c_000000290181	2726	3487	+	762	0
c_000000291422_1	c_000000291422	3	785	-	783	29
c_000000291662_3	c_000000291662	1379	1762	-	384	0
c_000000291824_2	c_000000291824	395	1258	-	864	0
c_000000292927_1	c_000000292927	1	447	+	447	2
c_000000293690_1	c_000000293690	2	631	-	630	1
c_000000293896_1	c_000000293896	1	477	-	477	0
c_000000294437_1	c_000000294437	218	1039	+	822	3
c_000000294957_3	c_000000294957	510	1292	-	783	0
c_000000295595_5	c_000000295595	2920	3822	+	903	0
c_000000295890_1	c_000000295890	3	725	+	723	2
c_000000295966_1	c_000000295966	3	596	+	594	0
c_000000296946_2	c_000000296946	71	754	+	684	0
c_000000297912_3	c_000000297912	2790	3827	-	1038	0
c_000000298033_1	c_000000298033	2	742	-	741	14
c_000000298267_1	c_000000298267	1	282	-	282	0
c_000000298372_1	c_000000298372	2	199	+	198	2
c_000000298733_7	c_000000298733	6555	7436	+	882	0
c_000000298760_1	c_000000298760	3	791	+	789	0
c_000000300232_3	c_000000300232	1218	2123	+	906	0
c_000000300293_16	c_000000300293	13329	14123	-	795	0
c_000000300500_3	c_000000300500	1219	1959	+	741	0
c_000000300588_2	c_000000300588	159	824	-	666	8
c_000000302497_1	c_000000302497	86	1000	+	915	12
c_000000303056_3	c_000000303056	1940	2782	-	843	0
c_000000303591_1	c_000000303591	1	282	-	282	3
c_000000303753_3	c_000000303753	1884	2750	+	867	0
c_000000303827_2	c_000000303827	2690	3520	+	831	0
c_000000303884_1	c_000000303884	1	1014	+	1014	23
c_000000303903_1	c_000000303903	3	698	-	696	26
c_000000303987_1	c_000000303987	3	395	-	393	2
c_000000304414_2	c_000000304414	189	989	-	801	0
c_000000304554_1	c_000000304554	2	376	+	375	49
c_000000304624_1	c_000000304624	1	501	+	501	21
c_000000304725_2	c_000000304725	1152	1973	+	822	0
c_000000305124_1	c_000000305124	2	421	+	420	2
c_000000305619_2	c_000000305619	314	571	+	258	0
c_000000307583_2	c_000000307583	681	1550	-	870	2
c_000000308194_4	c_000000308194	1806	2552	-	747	0
c_000000308535_2	c_000000308535	574	1350	+	777	0
c_000000309076_1	c_000000309076	1	306	-	306	4
c_000000309236_1	c_000000309236	3	551	-	549	8
c_000000309305_1	c_000000309305	116	661	+	546	2
c_000000309785_2	c_000000309785	1423	2490	+	1068	0
c_000000310031_1	c_000000310031	1	423	+	423	0
c_000000310033_1	c_000000310033	3	533	-	531	0
c_000000310249_4	c_000000310249	4423	5370	-	948	0
c_000000310961_1	c_000000310961	2	562	+	561	0
c_000000311107_1	c_000000311107	93	647	+	555	4
c_000000311153_6	c_000000311153	2632	3537	-	906	0
c_000000311190_1	c_000000311190	3	281	-	279	2
c_000000311209_4	c_000000311209	3236	4243	+	1008	0
c_000000311855_2	c_000000311855	171	1298	-	1128	8
c_000000312884_9	c_000000312884	7264	8328	-	1065	0
c_000000313563_5	c_000000313563	3958	6498	-	2541	0
c_000000313792_3	c_000000313792	2083	3063	-	981	0
c_000000313979_1	c_000000313979	3	260	-	258	2
c_000000314250_1	c_000000314250	1	504	-	504	2
c_000000314320_1	c_000000314320	3	569	+	567	4
c_000000315180_1	c_000000315180	3	260	-	258	6
c_000000315312_1	c_000000315312	3	1043	-	1041	1
c_000000315402_1	c_000000315402	3	773	+	771	8
c_000000316146_3	c_000000316146	969	1673	+	705	21
c_000000316729_15	c_000000316729	14447	15259	-	813	0
c_000000317109_14	c_000000317109	13661	14572	+	912	0
c_000000317573_1	c_000000317573	1	813	-	813	4
c_000000318851_3	c_000000318851	1965	2477	+	513	0
c_000000319339_25	c_000000319339	19534	20259	-	726	0
c_000000319399_1	c_000000319399	1	501	-	501	167
c_000000320410_2	c_000000320410	458	1198	+	741	0
c_000000320670_4	c_000000320670	3107	4015	+	909	0
c_000000320867_2	c_000000320867	706	1236	-	531	0
c_000000321240_1	c_000000321240	2	442	-	441	4
c_000000321684_3	c_000000321684	1857	2738	+	882	0
c_000000322233_3	c_000000322233	729	1100	+	372	0
c_000000323446_3	c_000000323446	1372	2175	+	804	0
c_000000323603_4	c_000000323603	1687	2067	+	381	0
c_000000323847_1	c_000000323847	1	588	+	588	6
c_000000324124_3	c_000000324124	850	1878	+	1029	0
c_000000324232_1	c_000000324232	3	263	-	261	6
c_000000324626_1	c_000000324626	1	507	+	507	6
c_000000324873_4	c_000000324873	2531	3217	-	687	0
c_000000324885_2	c_000000324885	415	1077	-	663	0
c_000000326355_2	c_000000326355	296	874	+	579	2
c_000000326918_1	c_000000326918	3	341	-	339	0
c_000000326957_1	c_000000326957	2	394	-	393	0
c_000000327284_1	c_000000327284	2	442	+	441	1
c_000000328494_1	c_000000328494	1	306	-	306	0
c_000000329075_2	c_000000329075	690	1616	-	927	0
c_000000330443_3	c_000000330443	1626	2396	+	771	0
c_000000330801_3	c_000000330801	1739	2284	-	546	0
c_000000332138_1	c_000000332138	2	286	+	285	4
c_000000333009_1	c_000000333009	1	363	+	363	4
c_000000333111_3	c_000000333111	2242	2871	-	630	0
c_000000334028_1	c_000000334028	235	1266	-	1032	8
c_000000335152_6	c_000000335152	4338	5000	-	663	0
c_000000335800_2	c_000000335800	372	884	+	513	9
c_000000336079_1	c_000000336079	3	575	+	573	2
c_000000336394_1	c_000000336394	3	320	+	318	0
c_000000336564_2	c_000000336564	805	1785	-	981	0
c_000000336746_2	c_000000336746	506	829	+	324	0
c_000000337260_1	c_000000337260	46	612	+	567	0
c_000000337726_2	c_000000337726	689	1657	+	969	0
c_000000338959_1	c_000000338959	3	413	+	411	0
c_000000339429_3	c_000000339429	915	1583	+	669	2
c_000000340902_1	c_000000340902	3	500	-	498	4
c_000000341186_1	c_000000341186	3	389	-	387	0
c_000000341869_2	c_000000341869	103	546	+	444	0
c_000000343197_1	c_000000343197	3	608	-	606	76
c_000000343554_1	c_000000343554	2	424	-	423	8
c_000000343890_1	c_000000343890	3	338	+	336	0
c_000000345059_1	c_000000345059	1	516	-	516	9
c_000000346104_1	c_000000346104	2	574	+	573	5
c_000000347319_1	c_000000347319	2	394	-	393	5
c_000000347927_21	c_000000347927	22623	23636	-	1014	0
c_000000348220_1	c_000000348220	1	558	-	558	1
c_000000349423_1	c_000000349423	3	449	-	447	7
c_000000349936_2	c_000000349936	563	1708	-	1146	6
c_000000350378_2	c_000000350378	969	1922	+	954	0
c_000000351242_1	c_000000351242	3	1070	-	1068	8
c_000000351761_1	c_000000351761	160	981	+	822	0
c_000000352709_1	c_000000352709	385	1011	+	627	797
c_000000353282_2	c_000000353282	98	868	+	771	0
c_000000353535_3	c_000000353535	1668	2576	-	909	0
c_000000353877_1	c_000000353877	3	398	-	396	4
c_000000354299_2	c_000000354299	638	1747	-	1110	0
c_000000354702_1	c_000000354702	1	564	-	564	10
c_000000355476_1	c_000000355476	1	282	-	282	6
c_000000356430_2	c_000000356430	246	809	+	564	67
c_000000356892_2	c_000000356892	219	422	+	204	4
c_000000357801_1	c_000000357801	1	357	+	357	2
c_000000357913_2	c_000000357913	1337	1936	-	600	0
c_000000357933_2	c_000000357933	575	1390	+	816	0
c_000000359030_1	c_000000359030	3	743	+	741	0
c_000000359165_1	c_000000359165	2	406	-	405	16
c_000000359169_1	c_000000359169	3	611	-	609	3
c_000000360248_1	c_000000360248	2	586	+	585	17
c_000000361188_1	c_000000361188	2	730	-	729	8
c_000000362552_1	c_000000362552	3	332	-	330	10
c_000000362849_1	c_000000362849	1	318	-	318	15
c_000000362994_7	c_000000362994	6567	7436	+	870	0
c_000000363173_1	c_000000363173	2	367	-	366	0
c_000000363262_1	c_000000363262	2	259	-	258	20
c_000000364436_1	c_000000364436	2	517	+	516	2
c_000000364441_12	c_000000364441	11571	12368	-	798	0
c_000000364441_14	c_000000364441	13441	14451	-	1011	0
c_000000364511_2	c_000000364511	330	893	-	564	15
c_000000364639_1	c_000000364639	1	237	-	237	0
c_000000365870_1	c_000000365870	3	329	+	327	1
c_000000365974_1	c_000000365974	1	414	+	414	6
c_000000366139_1	c_000000366139	3	290	+	288	10
c_000000366262_1	c_000000366262	1	624	-	624	4
c_000000366278_1	c_000000366278	1	591	+	591	0
c_000000366367_1	c_000000366367	2	265	-	264	17
c_000000367051_1	c_000000367051	3	299	+	297	0
c_000000367898_2	c_000000367898	717	1355	-	639	0
c_000000368106_5	c_000000368106	2675	3628	+	954	0
c_000000369047_1	c_000000369047	429	1346	-	918	0
c_000000369189_1	c_000000369189	2	577	-	576	12
c_000000370830_1	c_000000370830	2	454	-	453	0
c_000000372737_1	c_000000372737	1	555	+	555	2
c_000000372958_1	c_000000372958	1	597	-	597	5
c_000000373629_3	c_000000373629	1414	2241	+	828	8
c_000000373725_2	c_000000373725	1142	1786	+	645	0
c_000000373800_1	c_000000373800	3	665	+	663	3
c_000000374640_3	c_000000374640	2730	3635	-	906	0
c_000000374640_4	c_000000374640	3674	4693	+	1020	0
c_000000374643_2	c_000000374643	1027	1824	+	798	0
c_000000374942_1	c_000000374942	2	886	-	885	2
c_000000375056_1	c_000000375056	337	1095	+	759	0
c_000000375852_1	c_000000375852	202	915	+	714	0
c_000000376244_4	c_000000376244	2734	3426	+	693	0
c_000000376435_1	c_000000376435	1	306	-	306	0
c_000000377193_1	c_000000377193	2	787	-	786	0
c_000000377408_2	c_000000377408	557	1321	+	765	14
c_000000377427_2	c_000000377427	40	855	-	816	0
c_000000378426_1	c_000000378426	1	663	+	663	0
c_000000378572_3	c_000000378572	2246	2980	+	735	0
c_000000378717_1	c_000000378717	3	476	+	474	4
c_000000379287_2	c_000000379287	474	1364	+	891	1
c_000000379660_3	c_000000379660	883	1575	-	693	0
c_000000379774_1	c_000000379774	3	611	+	609	7
c_000000379842_7	c_000000379842	7977	8852	-	876	0
c_000000379984_1	c_000000379984	3	461	-	459	0
c_000000380409_1	c_000000380409	1	525	-	525	0
c_000000380861_1	c_000000380861	3	785	-	783	10
c_000000381539_1	c_000000381539	3	662	-	660	6
c_000000382003_1	c_000000382003	2	313	-	312	2
c_000000382712_1	c_000000382712	2	664	+	663	0
c_000000383087_1	c_000000383087	1	405	-	405	0
c_000000383641_2	c_000000383641	153	686	-	534	2
c_000000383807_1	c_000000383807	2	718	-	717	0
c_000000384974_2	c_000000384974	436	1062	+	627	0
c_000000386422_1	c_000000386422	3	368	-	366	14
c_000000386768_3	c_000000386768	768	1487	+	720	0
c_000000386926_1	c_000000386926	2	331	-	330	0
c_000000388162_1	c_000000388162	2	556	-	555	14
c_000000388881_2	c_000000388881	310	831	+	522	0
c_000000388972_1	c_000000388972	2	526	+	525	2
c_000000389009_1	c_000000389009	2	373	+	372	17
c_000000389288_3	c_000000389288	1842	2627	+	786	0
c_000000389411_2	c_000000389411	295	942	+	648	2
c_000000389499_1	c_000000389499	2	625	-	624	8
c_000000389666_1	c_000000389666	116	652	+	537	0
c_000000389909_14	c_000000389909	10023	10823	+	801	0
c_000000390174_3	c_000000390174	1185	1553	+	369	0
c_000000390283_3	c_000000390283	948	1571	+	624	0
c_000000391292_1	c_000000391292	2	430	-	429	8
c_000000392327_1	c_000000392327	1	375	-	375	5
c_000000392410_6	c_000000392410	4612	5526	+	915	0
c_000000393018_1	c_000000393018	3	470	+	468	3
c_000000393314_2	c_000000393314	440	1207	+	768	0
c_000000393442_2	c_000000393442	579	1415	-	837	0
c_000000394391_3	c_000000394391	2311	3285	+	975	0
c_000000394832_2	c_000000394832	75	335	-	261	3
c_000000394893_1	c_000000394893	1	300	-	300	0
c_000000395036_1	c_000000395036	1	213	+	213	0
c_000000395296_1	c_000000395296	3	674	+	672	0
c_000000395636_1	c_000000395636	1	321	+	321	2
c_000000395792_2	c_000000395792	261	620	+	360	0
c_000000396257_1	c_000000396257	8	550	-	543	0
c_000000396901_1	c_000000396901	2	379	+	378	0
c_000000397061_1	c_000000397061	2	424	+	423	4
c_000000397324_1	c_000000397324	2	511	+	510	64
c_000000397383_1	c_000000397383	1	510	-	510	10
c_000000397616_1	c_000000397616	3	575	-	573	10
c_000000397953_11	c_000000397953	11009	11857	-	849	0
c_000000398733_2	c_000000398733	592	1791	+	1200	0
c_000000399306_1	c_000000399306	2	481	+	480	0
c_000000399853_1	c_000000399853	1	363	-	363	9
c_000000399991_2	c_000000399991	291	1169	-	879	2
c_000000400181_11	c_000000400181	5413	6165	+	753	0
c_000000400292_1	c_000000400292	96	704	+	609	2
c_000000400950_1	c_000000400950	1	309	-	309	11
c_000000401270_1	c_000000401270	3	491	-	489	2
c_000000401554_3	c_000000401554	1652	2032	+	381	0
c_000000401933_1	c_000000401933	3	815	+	813	41
c_000000405069_2	c_000000405069	1000	1641	-	642	0
c_000000405089_2	c_000000405089	358	1023	-	666	0
c_000000405370_4	c_000000405370	3907	4692	+	786	0
c_000000405508_1	c_000000405508	1	444	-	444	0
c_000000405849_2	c_000000405849	529	1776	-	1248	0
c_000000405883_1	c_000000405883	1	708	+	708	0
c_000000405927_1	c_000000405927	1	813	-	813	10
c_000000406294_1	c_000000406294	1	315	+	315	4
c_000000408248_1	c_000000408248	94	414	+	321	0
c_000000409722_1	c_000000409722	2	340	+	339	2
c_000000409885_1	c_000000409885	1	657	-	657	30
c_000000410168_1	c_000000410168	3	452	+	450	6
c_000000410972_1	c_000000410972	3	644	-	642	2
c_000000411049_1	c_000000411049	2	1168	+	1167	18
c_000000412334_1	c_000000412334	2	373	-	372	2
c_000000413040_2	c_000000413040	149	793	-	645	2
c_000000413438_1	c_000000413438	40	924	-	885	2
c_000000413553_2	c_000000413553	754	1623	+	870	0
c_000000413688_1	c_000000413688	2	601	-	600	6
c_000000414033_5	c_000000414033	2923	3858	+	936	0
c_000000415152_3	c_000000415152	1890	2498	+	609	0
c_000000416664_1	c_000000416664	3	404	+	402	4
c_000000417117_1	c_000000417117	3	737	-	735	3
c_000000417143_2	c_000000417143	519	1226	+	708	0
c_000000418028_1	c_000000418028	1	444	-	444	0
c_000000419245_1	c_000000419245	141	383	+	243	7
c_000000420054_4	c_000000420054	2963	3787	+	825	0
c_000000420644_1	c_000000420644	54	881	-	828	2
c_000000420794_1	c_000000420794	1	324	-	324	18
c_000000420843_1	c_000000420843	2	652	-	651	2
c_000000421358_1	c_000000421358	1	492	+	492	9
c_000000421969_2	c_000000421969	168	896	-	729	0
c_000000422008_1	c_000000422008	1	876	+	876	2
c_000000422073_3	c_000000422073	3255	4208	+	954	0
c_000000423321_7	c_000000423321	6293	8614	-	2322	0
c_000000423403_1	c_000000423403	2	409	-	408	5
c_000000423639_2	c_000000423639	247	1080	-	834	6
c_000000423679_1	c_000000423679	3	317	-	315	3
c_000000423977_1	c_000000423977	3	776	-	774	4
c_000000424719_1	c_000000424719	181	1095	+	915	0
c_000000425725_1	c_000000425725	1	666	-	666	8
c_000000425759_1	c_000000425759	1	432	+	432	0
c_000000425951_4	c_000000425951	2418	3392	+	975	0
c_000000426096_2	c_000000426096	349	1161	-	813	0
c_000000426337_8	c_000000426337	5564	6205	+	642	0
c_000000426622_5	c_000000426622	5644	6501	+	858	0
c_000000426622_23	c_000000426622	24792	25694	+	903	0
c_000000426824_3	c_000000426824	1867	2739	-	873	0
c_000000426969_1	c_000000426969	1	522	-	522	4
c_000000426998_3	c_000000426998	1652	2557	+	906	0
c_000000427369_1	c_000000427369	2	445	-	444	4
c_000000427555_1	c_000000427555	2	697	+	696	2
c_000000427618_1	c_000000427618	3	308	-	306	72
c_000000427674_1	c_000000427674	3	473	-	471	2
c_000000428307_2	c_000000428307	347	865	+	519	4
c_000000429143_2	c_000000429143	704	1300	+	597	0
c_000000429766_5	c_000000429766	3067	3906	+	840	0
c_000000430220_1	c_000000430220	2	1015	+	1014	8
c_000000430444_5	c_000000430444	2946	3944	-	999	0
c_000000430999_10	c_000000430999	10594	11469	-	876	0
c_000000432775_1	c_000000432775	1	393	+	393	14
c_000000432926_1	c_000000432926	1	369	+	369	0
c_000000433099_2	c_000000433099	2336	3028	-	693	0
c_000000433474_3	c_000000433474	791	1642	-	852	0
c_000000434090_1	c_000000434090	2	538	-	537	2
c_000000434210_1	c_000000434210	1	372	+	372	0
c_000000435178_2	c_000000435178	341	619	-	279	0
c_000000435733_1	c_000000435733	1	264	-	264	2
c_000000435742_1	c_000000435742	3	329	-	327	9
c_000000435888_2	c_000000435888	399	677	-	279	1
c_000000436547_4	c_000000436547	3329	4171	+	843	0
c_000000436741_2	c_000000436741	120	524	+	405	8
c_000000437802_1	c_000000437802	31	801	-	771	241
c_000000438133_3	c_000000438133	903	1943	+	1041	0
c_000000438340_1	c_000000438340	1	624	+	624	0
c_000000438570_12	c_000000438570	12685	13581	-	897	0
c_000000439007_1	c_000000439007	1	618	+	618	2
c_000000439233_27	c_000000439233	24851	25747	-	897	0
c_000000439773_2	c_000000439773	935	1822	+	888	0
c_000000439807_3	c_000000439807	947	2164	-	1218	0
c_000000439938_1	c_000000439938	1	270	+	270	1
c_000000440147_1	c_000000440147	2	619	+	618	1
c_000000440224_1	c_000000440224	2	508	+	507	37
c_000000440454_9	c_000000440454	11623	12795	+	1173	0
c_000000440622_1	c_000000440622	2	508	+	507	10
c_000000441012_1	c_000000441012	244	1227	+	984	0
c_000000441405_2	c_000000441405	1071	2045	-	975	32
c_000000442644_1	c_000000442644	3	572	-	570	0
c_000000442980_1	c_000000442980	1	327	+	327	0
c_000000443374_1	c_000000443374	1	519	+	519	6
c_000000443625_1	c_000000443625	2	481	-	480	10
c_000000444030_1	c_000000444030	3	548	+	546	4
c_000000444074_9	c_000000444074	8735	9595	-	861	0
c_000000444827_1	c_000000444827	3	473	-	471	4
c_000000444928_1	c_000000444928	1	531	+	531	16
c_000000445474_1	c_000000445474	2	286	+	285	3
c_000000445669_1	c_000000445669	2	415	+	414	1
c_000000446012_2	c_000000446012	150	872	-	723	8
c_000000446210_1	c_000000446210	1	516	+	516	95
c_000000446271_1	c_000000446271	3	1055	-	1053	7
